Région,Académie,Établissement,Établissement actuel,Type de diplôme,Domaine disciplinaire,Discipline,Secteur disciplinaire,Libellé du diplôme,Source de données,Nombre de poursuivants,Nombre de sortants,Année(s) d'obtention du diplôme prise(s) en compte,Date d'insertion en emploi,Flag,Exception,Taux d'emploi salarié en France,Taux d'insertion,Taux d'emploi,Code de la région,Code de l'académie,Identifiant interne de l'établissement,Identifiant interne de l'établissement actuel,Code UAI de l'établissement,type_diplome,Code du domaine disciplinaire,Code de la discipline,Code du secteur disciplinaire,Code du diplôme SISE,Mois après la diplomation
,,National,National,Licence professionnelle,Tous domaines disciplinaires,Toutes disciplines,Tous secteurs disciplinaires,Toute licence professionnelle,insersup,,24269.0,2020,6 mois après le diplôme,,,67.62,,,,,UNIV,UNIV,UNIV,licence_pro,all,,all,all,6
,,National,National,Master LMD,Tous domaines disciplinaires,Toutes disciplines,Tous secteurs disciplinaires,Tout Master LMD,insersup,,53500.0,2020,6 mois après le diplôme,,,49.75,,,,,UNIV,UNIV,UNIV,master_LMD,all,,all,all,6
,,National,National,Master MEEF,Tous domaines disciplinaires,Toutes disciplines,Tous secteurs disciplinaires,Tout Master MEEF,insersup,,12147.0,2020,6 mois après le diplôme,,,80.55,,,,,UNIV,UNIV,UNIV,master_MEEF,all,,all,all,6
,,National,National,Master LMD,Tous domaines disciplinaires,Toutes disciplines,Tous secteurs disciplinaires,Tout Master LMD,insersup,,53500.0,2020,18 mois après le diplôme,,,73.18,,,,,UNIV,UNIV,UNIV,master_LMD,all,,all,all,18
,,National,National,Master MEEF,Tous domaines disciplinaires,Toutes disciplines,Tous secteurs disciplinaires,Tout Master MEEF,insersup,,12147.0,2020,30 mois après le diplôme,,,92.04,,,,,UNIV,UNIV,UNIV,master_MEEF,all,,all,all,30
,,National,National,Licence professionnelle,Tous domaines disciplinaires,Toutes disciplines,Tous secteurs disciplinaires,Toute licence professionnelle,insersup,,24973.0,2021,12 mois après le diplôme,,,82.43,,,,,UNIV,UNIV,UNIV,licence_pro,all,,all,all,12
,,National,National,Licence professionnelle,Tous domaines disciplinaires,Toutes disciplines,Tous secteurs disciplinaires,Toute licence professionnelle,insersup,,24973.0,2021,18 mois après le diplôme,,,82.43,,,,,UNIV,UNIV,UNIV,licence_pro,all,,all,all,18
,,National,National,Master LMD,Tous domaines disciplinaires,Toutes disciplines,Tous secteurs disciplinaires,Tout Master LMD,IP,,,2020,30 mois après le diplôme,,,,93.13,88.48,,,UNIV,UNIV,UNIV,master_LMD,all,,all,all,30
,,National,National,Master MEEF,Tous domaines disciplinaires,Toutes disciplines,Tous secteurs disciplinaires,Tout Master MEEF,insersup,,12431.0,2021,6 mois après le diplôme,,,90.35,,,,,UNIV,UNIV,UNIV,master_MEEF,all,,all,all,6
,,National,National,Licence professionnelle,Tous domaines disciplinaires,Toutes disciplines,Tous secteurs disciplinaires,Toute licence professionnelle,IP,,,2020,18 mois après le diplôme,,,,92.44,89.41,,,UNIV,UNIV,UNIV,licence_pro,all,,all,all,18
,,National,National,Master MEEF,Tous domaines disciplinaires,Toutes disciplines,Tous secteurs disciplinaires,Tout Master MEEF,IP,,,2020,30 mois après le diplôme,,,,97.5,94.55,,,UNIV,UNIV,UNIV,master_MEEF,all,,all,all,30
,,National,National,Master LMD,Tous domaines disciplinaires,Toutes disciplines,Tous secteurs disciplinaires,Tout Master LMD,insersup,,53500.0,2020,12 mois après le diplôme,,,66.77,,,,,UNIV,UNIV,UNIV,master_LMD,all,,all,all,12
,,National,National,Master LMD,Tous domaines disciplinaires,Toutes disciplines,Tous secteurs disciplinaires,Tout Master LMD,insersup,,53500.0,2020,24 mois après le diplôme,,,76.68,,,,,UNIV,UNIV,UNIV,master_LMD,all,,all,all,24
,,National,National,Licence professionnelle,Tous domaines disciplinaires,Toutes disciplines,Tous secteurs disciplinaires,Toute licence professionnelle,insersup,,24269.0,2020,30 mois après le diplôme,,,82.77,,,,,UNIV,UNIV,UNIV,licence_pro,all,,all,all,30
,,National,National,Master MEEF,Tous domaines disciplinaires,Toutes disciplines,Tous secteurs disciplinaires,Tout Master MEEF,insersup,,12147.0,2020,12 mois après le diplôme,,,81.79,,,,,UNIV,UNIV,UNIV,master_MEEF,all,,all,all,12
,,National,National,Licence professionnelle,Tous domaines disciplinaires,Toutes disciplines,Tous secteurs disciplinaires,Toute licence professionnelle,insersup,,24269.0,2020,18 mois après le diplôme,,,82.13,,,,,UNIV,UNIV,UNIV,licence_pro,all,,all,all,18
,,National,National,Master LMD,Tous domaines disciplinaires,Toutes disciplines,Tous secteurs disciplinaires,Tout Master LMD,insersup,,53500.0,2020,30 mois après le diplôme,,,75.25,,,,,UNIV,UNIV,UNIV,master_LMD,all,,all,all,30
,,National,National,Master LMD,Tous domaines disciplinaires,Toutes disciplines,Tous secteurs disciplinaires,Tout Master LMD,insersup,,57164.0,2021,6 mois après le diplôme,,,61.47,,,,,UNIV,UNIV,UNIV,master_LMD,all,,all,all,6
,,National,National,Master MEEF,Tous domaines disciplinaires,Toutes disciplines,Tous secteurs disciplinaires,Tout Master MEEF,IP,,,2020,18 mois après le diplôme,,,,96.99,95.29,,,UNIV,UNIV,UNIV,master_MEEF,all,,all,all,18
,,National,National,Licence professionnelle,Tous domaines disciplinaires,Toutes disciplines,Tous secteurs disciplinaires,Toute licence professionnelle,insersup,,24973.0,2021,6 mois après le diplôme,,,75.35,,,,,UNIV,UNIV,UNIV,licence_pro,all,,all,all,6
,,National,National,Master MEEF,Tous domaines disciplinaires,Toutes disciplines,Tous secteurs disciplinaires,Tout Master MEEF,insersup,,12431.0,2021,12 mois après le diplôme,,,92.11,,,,,UNIV,UNIV,UNIV,master_MEEF,all,,all,all,12
,,National,National,Master LMD,Tous domaines disciplinaires,Toutes disciplines,Tous secteurs disciplinaires,Tout Master LMD,IP,,,2020,18 mois après le diplôme,,,,90.03,85.86,,,UNIV,UNIV,UNIV,master_LMD,all,,all,all,18
,,National,National,Licence professionnelle,Tous domaines disciplinaires,Toutes disciplines,Tous secteurs disciplinaires,Toute licence professionnelle,insersup,,24269.0,2020,12 mois après le diplôme,,,78.91,,,,,UNIV,UNIV,UNIV,licence_pro,all,,all,all,12
,,National,National,Master MEEF,Tous domaines disciplinaires,Toutes disciplines,Tous secteurs disciplinaires,Tout Master MEEF,insersup,,12147.0,2020,18 mois après le diplôme,,,90.5,,,,,UNIV,UNIV,UNIV,master_MEEF,all,,all,all,18
,,National,National,Master MEEF,Tous domaines disciplinaires,Toutes disciplines,Tous secteurs disciplinaires,Tout Master MEEF,insersup,,12147.0,2020,24 mois après le diplôme,,,91.88,,,,,UNIV,UNIV,UNIV,master_MEEF,all,,all,all,24
,,National,National,Master LMD,Tous domaines disciplinaires,Toutes disciplines,Tous secteurs disciplinaires,Tout Master LMD,insersup,,57164.0,2021,12 mois après le diplôme,,,74.29,,,,,UNIV,UNIV,UNIV,master_LMD,all,,all,all,12
,,National,National,Master LMD,Tous domaines disciplinaires,Toutes disciplines,Tous secteurs disciplinaires,Tout Master LMD,insersup,,57164.0,2021,18 mois après le diplôme,,,75.03,,,,,UNIV,UNIV,UNIV,master_LMD,all,,all,all,18
,,National,National,Master MEEF,Tous domaines disciplinaires,Toutes disciplines,Tous secteurs disciplinaires,Tout Master MEEF,insersup,,12431.0,2021,18 mois après le diplôme,,,91.97,,,,,UNIV,UNIV,UNIV,master_MEEF,all,,all,all,18
,,National,National,Licence professionnelle,Tous domaines disciplinaires,Toutes disciplines,Tous secteurs disciplinaires,Toute licence professionnelle,IP,,,2020,30 mois après le diplôme,,,,95.01,90.16,,,UNIV,UNIV,UNIV,licence_pro,all,,all,all,30
,,National,National,Licence professionnelle,Tous domaines disciplinaires,Toutes disciplines,Tous secteurs disciplinaires,Toute licence professionnelle,insersup,,24269.0,2020,24 mois après le diplôme,,,83.72,,,,,UNIV,UNIV,UNIV,licence_pro,all,,all,all,24
